Confidence_Level,Confidence_Label,Method,VaR_1D_Pct,VaR_1D_Dollar,VaR_10D_Pct,VaR_10D_Dollar,CVaR_1D_Pct,CVaR_1D_Dollar,Portfolio_Value
0.9,90%,Historical,-1.8452,18451.56,-5.8349,58348.96,-3.3964,33963.91,1000000
0.9,90%,Parametric,-2.3941,23940.99,-7.5708,75708.07,-3.3964,33963.91,1000000
0.9,90%,Monte Carlo,-2.8581,28580.76,-9.038,90380.31,-3.3964,33963.91,1000000
0.95,95%,Historical,-2.7812,27812.01,-8.7949,87949.3,-4.5541,45541.24,1000000
0.95,95%,Parametric,-3.0991,30990.59,-9.8001,98000.84,-4.5541,45541.24,1000000
0.95,95%,Monte Carlo,-3.7638,37638.1,-11.9022,119022.12,-4.5541,45541.24,1000000
0.99,99%,Historical,-5.0437,50437.48,-15.9497,159497.31,-7.8296,78295.63,1000000
0.99,99%,Parametric,-4.4214,44214.45,-13.9818,139818.36,-7.8296,78295.63,1000000
0.99,99%,Monte Carlo,-5.4049,54048.71,-17.0917,170917.03,-7.8296,78295.63,1000000
,Summary,Max Drawdown,-40.2987,402986.59,,,,,1000000
